time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.024871,0.477511,2.718863,-8.791673,-0.690752,3.462289,-9.768542
0.058072,0.285968,3.325964,-8.903007,0.13004,3.317734,-9.133308
0.091385,0.506092,3.888322,-9.360316,-0.418252,3.783273,-9.062377
0.124698,0.301381,3.679421,-9.353582,-0.388174,3.5205,-9.097393
0.158031,0.874064,3.36951,-9.004914,-0.257536,3.851959,-8.992943
0.191382,0.313951,3.638269,-9.317967,-0.340138,3.792401,-8.933235
0.224718,0.623113,3.681516,-9.137797,0.405981,3.762173,-9.083925
0.258027,0.399547,3.466778,-9.134505,-0.19289,3.73434,-9.020926
0.291411,0.61174,3.567937,-9.238806,-0.244966,3.801978,-8.973938
0.324718,0.58271,3.561352,-9.256613,-0.281179,3.794496,-9.00656
0.358316,0.529437,3.599511,-9.130315,0.212493,3.623155,-9.176105
0.391385,0.484694,3.815596,-9.333829,-0.449677,3.735238,-8.954335
0.424048,0.987943,3.657573,-9.050405,-0.02933,3.943541,-8.88071
0.45853,0.400145,3.822629,-9.516244,-0.024392,3.512419,-8.991895
0.491387,0.278486,3.268501,-8.930841,-0.12151,3.888472,-9.000574
0.524717,0.823186,3.571379,-9.357473,0.329663,3.718029,-9.074348
0.558295,0.956667,2.887061,-8.769376,-0.777245,3.762024,-8.825043
0.59138,0.460302,3.21882,-8.999976,0.305272,3.765017,-9.161291
0.624714,0.715443,3.823377,-9.273972,-0.652593,3.36113,-8.883105
0.658032,0.125999,3.318332,-9.426159,-0.246163,4.091238,-8.773716
0.691416,1.104066,3.481593,-8.77611,-0.597075,3.459895,-9.156353
0.724745,0.673992,3.472016,-9.382014,0.286566,3.6254,-9.010301
0.758077,0.822288,3.757534,-9.302554,-0.119714,3.777587,-9.094101
0.791436,0.329214,3.613279,-9.181942,-0.302279,3.909871,-8.690215
0.824717,0.723823,3.701418,-9.310784,-0.568194,3.328508,-9.030054
0.858094,0.733849,3.564345,-10.478747,0.207106,3.376992,-9.156802
0.891405,0.239878,0.53243,-12.00331,-0.095323,3.822928,-9.263946
0.924754,-0.644213,0.990337,-17.029517,-0.030078,3.520799,-9.248233
0.958047,-0.763179,-1.962717,-8.835518,-0.2095,3.381033,-9.147973
0.991387,0.826029,-0.44863,-9.626531,0.107294,3.51646,-9.123282
1.024719,0.445337,-0.327868,-8.427741,0.255441,3.441339,-9.176704
1.058049,-0.868677,3.372054,-10.019792,0.001347,3.523493,-9.047413
1.091401,-0.01676,3.343472,-8.500168,-0.815404,3.649043,-8.933085
1.124749,-0.305421,2.415686,-7.209797,-0.530035,3.269848,-8.92291
1.158076,-1.846145,5.990955,-14.785022,-0.550836,3.662212,-9.061329
1.191403,-1.903608,4.483303,-7.997518,0.709008,3.674183,-9.238956
1.224711,-0.919406,2.387853,-6.724056,-0.227607,3.381182,-9.346698
1.258073,-0.882295,3.235879,-8.615693,0.019304,3.408268,-9.232072
1.291385,-1.884154,6.336481,-13.685446,0.37291,3.759929,-9.078089
1.324716,-1.472337,2.582688,-7.166251,0.289409,3.722967,-9.002819
