time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
0.023813,1.113044,3.000491,-9.231922,0.162662,3.282119,-9.560089
0.057142,1.158835,3.016802,-9.264694,-0.176279,3.283017,-9.328592
0.090474,1.144918,3.003633,-9.305547,-0.296293,3.292444,-9.179697
0.123806,1.162576,3.030569,-9.349691,-0.364979,3.255183,-9.205585
0.157167,1.176194,3.034759,-9.299561,-0.384433,3.272841,-9.190771
0.190495,1.139232,3.048676,-9.372287,-0.310509,3.293342,-9.228181
0.223843,1.125764,3.008871,-9.360017,-0.311706,3.253537,-9.219053
0.257217,1.157488,3.028624,-9.328891,-0.367822,3.259672,-9.190471
0.290454,1.129804,2.971011,-9.281304,-0.332507,3.287656,-9.19945
0.323163,1.127111,2.994355,-9.363608,-0.414062,3.262665,-9.193314
0.357221,1.210013,3.044486,-9.327544,-0.289858,3.276582,-9.211122
0.390477,1.12756,3.011415,-9.317069,-0.311257,3.283615,-9.180295
0.423807,1.195946,3.039248,-9.351337,-0.303775,3.282717,-9.194212
0.457156,1.253709,3.094466,-9.325898,-0.342982,3.174675,-9.170569
0.490541,1.021313,2.929111,-9.322905,-0.348369,3.308905,-9.220699
0.523888,1.167365,3.051519,-9.366302,-0.399547,3.167792,-9.180595
0.557142,1.26568,3.123647,-9.381266,-0.311557,3.316387,-9.220849
0.590508,1.254906,3.019944,-9.325599,-0.375604,3.271644,-9.185982
0.623805,1.249369,3.100452,-9.306295,-0.351062,3.32357,-9.207531
0.657139,1.15689,3.058103,-9.322157,-0.369917,3.233186,-9.226535
0.690471,1.137735,3.075312,-9.340264,-0.357647,3.338833,-9.204388
0.723804,1.198191,3.066932,-9.340413,-0.421544,3.338833,-9.145129
0.757174,1.145217,2.882123,-9.181642,-0.412117,3.322971,-9.19526
0.790528,1.214053,3.07202,-9.34206,-0.447283,3.305313,-9.151863
0.823811,1.121424,3.062892,-9.328292,-0.349865,3.36981,-9.20768
0.857136,1.174099,3.085787,-9.359568,-0.388772,3.339133,-9.190322
0.890551,1.199688,2.986873,-9.289984,-0.366625,3.345867,-9.201545
0.923808,1.140728,3.095664,-9.330537,-0.407627,3.313993,-9.176854
0.957138,1.174996,3.020842,-9.292977,-0.4609,3.320427,-9.175507
0.990457,1.150305,2.994804,-9.273822,-0.548441,3.301423,-9.097094
1.02387,1.128457,3.068878,-9.365254,-0.382787,3.321475,-9.20768
1.057168,1.170806,2.938838,-9.257811,-0.47781,3.211936,-9.194512
1.090555,1.190709,3.108982,-9.35448,-0.358694,3.429667,-9.216659
1.123834,1.228269,3.069326,-9.326646,-0.434563,3.208794,-9.154557
1.157155,1.213305,3.040445,-9.291031,-0.545299,3.218371,-9.10278
1.190485,1.224828,3.076958,-9.337271,-0.421993,3.255033,-9.175507
1.223836,1.215849,3.087733,-9.347147,-0.347321,3.332698,-9.23282
1.257169,1.16497,3.067082,-9.341012,-0.44848,3.237076,-9.134355
1.290474,1.191607,2.97161,-9.296718,-0.43157,3.302171,-9.187029
1.323894,1.218692,3.094616,-9.342957,-0.430223,3.25638,-9.200048
1.357154,1.148959,2.995553,-9.324252,-0.384433,3.317135,-9.22863
1.390478,1.187866,3.055559,-9.335026,-0.358096,3.228996,-9.152013
1.423888,1.112745,3.00498,-9.319613,-0.477062,3.247252,-9.102182
1.457143,1.209265,3.071571,-9.348943,-0.369319,3.291696,-9.239255
1.490937,1.240989,3.082645,-9.349093,-0.395806,3.286309,-9.197205
1.523868,1.170956,3.051519,-9.342957,-0.416905,3.335242,-9.187478
1.55716,1.202381,3.015006,-9.291031,-0.376053,3.205053,-9.204538
1.59071,1.242635,3.122599,-9.346549,-0.445936,3.318033,-9.174609
1.623799,1.14851,3.02578,-9.339067,-0.434713,3.320727,-9.188825
1.657168,1.27421,3.05107,-9.327245,-0.384433,3.158214,-9.178051
1.691082,1.227072,3.086685,-9.336822,-0.46509,3.211787,-9.134954
1.723518,1.145816,3.075163,-9.349093,-0.522254,3.375346,-9.202892
1.757215,1.205673,3.056906,-9.386803,-0.387725,3.30262,-9.150666
1.790445,1.185322,3.052267,-9.389347,-0.269956,3.310701,-9.240302
1.823811,1.116935,2.974303,-9.334278,-0.463743,3.218969,-9.154108
