time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.011541,1.404998,4.004894,-9.390394,-1.157787,3.641262,-9.277713
0.043418,1.248471,3.443733,-8.999228,-0.781735,3.661164,-8.842551
0.076734,1.486403,3.612231,-8.95628,-0.946342,3.732694,-9.08617
0.109987,1.436273,3.634229,-8.865746,-0.944247,3.664307,-9.014641
0.143443,1.364145,3.648295,-9.011798,-1.038223,3.631685,-8.963762
0.17725,1.316409,3.658321,-9.048011,-0.926888,3.62525,-8.997731
0.210022,1.359506,3.713988,-9.075845,-0.897558,3.651737,-9.024667
0.243358,1.382551,3.704411,-9.043971,-0.919406,3.595471,-9.014042
0.276762,1.389135,3.691093,-9.04442,-0.893069,3.709499,-9.051303
0.310006,1.400957,3.699473,-9.060282,-0.965945,3.644554,-9.008505
0.343362,1.395271,3.702765,-9.070607,-0.899204,3.672088,-8.999527
0.376711,1.358758,3.685406,-9.052201,-0.879751,3.664307,-9.004615
0.410003,1.34544,3.647098,-9.015688,-0.946043,3.685855,-9.053249
0.443397,1.368185,3.668497,-8.999078,-0.940057,3.72147,-9.016436
0.477152,1.354418,3.639765,-9.025565,-1.033883,3.644255,-8.980073
0.510024,1.344692,3.563298,-8.939071,-0.995874,3.542348,-8.95643
0.543361,1.350228,3.770404,-9.125377,-1.024755,3.653533,-9.042923
0.576932,1.352772,3.703364,-9.055044,-1.066356,3.764568,-9.11954
0.610025,1.555389,3.550578,-9.310485,-0.962503,3.772349,-9.151564
0.64339,1.404399,3.769955,-9.072104,-0.928983,3.602504,-8.954035
0.676682,1.437769,3.797938,-9.007308,-0.817799,3.620312,-9.104576
0.710029,1.391679,3.81395,-9.179697,-0.786823,3.757983,-9.141239
0.743403,1.166616,3.778035,-9.118643,-1.126512,3.572127,-8.963164
0.776696,1.241887,3.706656,-9.012995,-1.231861,3.612381,-8.963613
0.810025,1.275706,3.665055,-8.949247,-1.164372,3.668497,-8.979175
0.843338,1.562572,3.794197,-9.079137,-0.890675,3.735238,-9.130165
0.876743,1.536234,3.643058,-8.938622,-0.871221,3.477552,-8.973788
0.910035,1.434028,3.720872,-9.018831,-0.945743,3.338384,-8.895824
0.943348,1.960323,3.753045,-8.967952,-0.918957,3.690195,-9.046515
0.976679,1.577386,3.841185,-9.199151,-0.880499,3.639466,-9.012546
1.010025,1.285732,4.022402,-9.317069,-0.710654,3.551177,-8.962116
1.04333,0.083501,3.997562,-9.339216,-0.77515,4.285026,-9.254668
1.076741,-4.755354,5.420965,-10.618065,-1.010389,3.615074,-8.988902
1.109971,-13.979195,8.643975,-10.434603,-1.053636,3.975265,-9.080933
1.143328,-15.01652,10.288402,-8.225873,-0.869126,4.030633,-9.083028
1.176666,1.938624,11.662872,-4.884346,-1.016973,3.682264,-9.021524
1.210081,10.772796,5.748983,-8.570052,-1.508401,3.598015,-8.794366
1.243332,2.161143,4.705672,-9.290133,-0.78383,4.021056,-9.255716
1.27668,-1.885351,4.030932,-9.850247,-0.879751,3.664905,-8.916176
1.309999,-0.416606,2.9336,-13.592518,-1.006349,3.441189,-8.864998
1.343329,2.885715,2.347,-12.172406,-1.153747,3.727456,-8.954784
1.376643,3.175423,1.846744,-9.77752,-1.622279,3.576017,-8.807685
1.410018,5.200242,1.857967,-9.087966,-1.2992,3.608789,-8.836266
1.443377,7.562805,2.999892,-9.046515,-0.68716,3.7927,-9.062377
1.476679,5.082174,3.10973,-5.941872,-0.618624,4.192397,-9.128519
1.510018,3.138312,4.903949,-6.038841,-0.50714,4.04455,-9.140939
1.543325,0.978216,5.034737,-4.752061,-0.62461,3.631535,-8.974088
1.576667,-0.15907,5.878125,-6.992516,-0.85506,4.006989,-9.000724
1.610015,3.005429,6.091964,0.268609,-0.767968,3.896702,-9.071056
1.643331,-2.358373,1.101821,-13.061734,-0.895613,3.756337,-9.118493
1.676668,0.220274,5.294667,-13.415341,-1.011437,3.793299,-9.186581
1.710036,4.372567,0.72517,-6.364913,-1.259844,3.461092,-9.070158
1.743333,-0.33954,5.934839,-11.383189,-1.095686,3.479348,-9.27487
1.776661,3.819636,5.700648,-12.699,-2.849501,2.930009,-8.707873
1.810091,0.545598,4.556029,-10.105239,-3.161806,3.574371,-9.723499
1.843414,0.38967,3.300226,-8.889988,-9.265442,6.079544,-11.289513
1.876698,0.588695,3.694385,-9.281753,-8.974686,3.308306,-7.699429
1.910012,1.004254,3.780579,-9.370342,-6.442279,0.106396,-9.180595
1.943333,0.886634,4.024048,-9.604234,3.004381,-0.708859,-10.064835
1.976662,1.158087,3.888322,-9.47584,3.283466,1.066056,-12.448049
2.009995,1.42475,3.271494,-8.895525,1.680341,-0.851618,-12.073642
2.043332,0.885138,3.293791,-8.949995,-1.782996,-0.54081,-11.034372
2.076752,1.006648,3.93112,-9.088864,-1.926054,-0.632092,-10.074861
2.110063,1.120077,4.378403,-9.472847,-0.856257,0.631194,-11.746373
2.143329,1.255804,2.937192,-8.665673,0.103703,1.444803,-12.945162
2.176664,1.22393,3.873957,-9.139443,-0.376801,1.563769,-12.161183
2.209998,1.140728,4.316451,-9.476439,-0.200073,1.990102,-11.562611
2.243095,1.111997,3.8349,-9.0528,-0.047138,2.466265,-10.262813
2.276718,1.204925,3.541749,-8.826989,-0.78368,3.744067,-10.797038
2.309995,1.246376,3.840287,-9.092006,-0.458356,4.278142,-9.720656
2.343424,1.247274,3.808114,-9.071206,0.351811,4.977723,-7.701674
2.37655,1.159134,3.916006,-9.063424,0.07108,5.550407,-6.661505
2.409997,1.475779,3.869617,-9.109215,0.826179,5.990656,-5.51105
2.443158,1.101372,3.979305,-8.917223,0.103553,7.704966,-3.988134
2.476705,1.363397,4.130594,-9.121935,-7.144403,7.739234,6.950167
2.509981,1.751122,3.927379,-9.645835,4.152292,-0.529437,-2.756273
2.543317,1.702338,4.989844,-10.218967,19.562972,27.412642,-18.703124
2.576529,2.535251,4.887788,-10.170333,-3.911367,-1.608811,-4.764781
2.609994,4.480459,7.114475,-14.223412,-8.55374,17.260715,-19.085761
2.64326,19.531098,3.666103,-29.028188,0.152935,7.013166,-9.38785
2.676701,16.107716,3.91436,-25.582809,0.783979,3.908674,-9.802212
2.709971,-1.365642,-1.394672,3.570181,-0.097268,3.54998,-8.966605
2.743305,2.886313,2.977745,-12.078879,-0.7545,3.272991,-8.664327
2.77653,1.511693,5.549509,-15.996382,-1.337958,3.446427,-8.498073
2.81,-3.454657,5.024112,-9.319912,-1.341399,3.032963,-8.684828
2.843312,-0.726517,2.815083,-4.814014,-0.644961,4.568599,-9.380967
2.876687,4.150048,6.048119,-13.13461,-0.533028,4.08645,-9.24539
2.909979,3.464085,5.903115,-11.449182,-0.921052,3.731347,-8.909292
2.943705,-0.21384,7.232244,-10.971073,-0.78383,4.113385,-9.015688
2.976665,-6.444523,9.508313,-12.549058,-0.257536,3.90194,-9.006111
3.010001,-8.447943,8.221832,-4.928191,-0.700628,3.791204,-8.789727
3.043586,-7.030076,7.273994,-6.213474,-0.220274,4.307323,-9.112358
3.076652,-4.329919,7.057461,-7.483195,-0.447133,3.863781,-9.087667
3.110034,-2.678609,5.742398,-9.00222,-0.785775,4.043801,-9.162338
3.14332,-1.241139,10.508077,11.47911,-1.671961,3.676727,-9.141388
3.176665,-44.596591,6.991618,-24.441332,-1.48775,3.491469,-9.00671
3.209995,-0.608897,6.13566,-13.370747,-0.839198,1.433131,-9.830793
3.243321,9.855484,4.082409,-7.050278,1.122621,3.361579,-10.970474
