time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
0.022412,1.565864,2.734575,-9.398026,0.183013,2.937491,-9.298064
0.055749,1.624524,2.678309,-9.328292,0.191094,2.926866,-9.324701
0.088795,1.565864,2.766898,-9.358371,0.258134,2.95455,-9.367499
0.122416,1.604621,2.768843,-9.40895,0.221771,2.987472,-9.316171
0.155747,1.529052,2.760463,-9.37543,0.181966,2.98822,-9.314974
0.18907,1.561075,2.649428,-9.314974,0.237932,3.008571,-9.340563
0.222485,1.543866,2.795181,-9.413439,0.235089,2.993009,-9.318865
0.25576,1.609859,2.691328,-9.268585,0.222369,3.038201,-9.319613
0.289067,1.535037,2.74535,-9.3461,0.12555,3.029521,-9.328741
0.322412,1.55509,2.678758,-9.331734,0.132434,2.959489,-9.283399
0.355763,1.660737,2.771387,-9.414038,0.151439,2.935695,-9.271278
0.38903,1.521121,2.69896,-9.20783,0.259182,3.047778,-9.36286
0.421648,1.680341,2.720359,-9.76106,0.139467,2.899182,-9.295072
0.455795,1.461563,2.707191,-9.257811,0.28088,3.131428,-9.392489
0.489122,1.563619,2.827055,-9.368247,0.202766,2.973555,-9.258708
0.521568,1.719248,2.784406,-9.449802,0.216234,2.974004,-9.293725
0.555735,1.631407,2.779019,-9.302404,0.216683,3.032215,-9.285794
0.589067,1.515883,2.709734,-9.301357,0.211595,3.004381,-9.31692
0.622412,1.625871,2.665889,-9.337121,0.077665,2.941382,-9.275618
0.655751,1.727927,2.630124,-9.177752,0.118368,3.09701,-9.293725
0.689095,1.573795,2.808948,-9.429451,0.192441,3.082495,-9.314376
0.722457,1.511394,2.686091,-9.301057,0.206507,2.98837,-9.339366
0.755805,1.60956,2.820321,-9.378273,0.245564,2.855187,-9.300459
0.789021,1.593548,2.721107,-9.294174,0.338642,2.927166,-9.364207
0.822459,1.476527,2.736371,-9.388598,0.122857,3.108832,-9.305846
0.855825,1.521869,2.788596,-9.392489,0.103254,3.011415,-9.318117
0.889119,1.582474,2.607678,-9.322756,0.059259,3.039697,-9.233119
0.921664,1.665676,2.567873,-9.14917,0.333255,3.044935,-9.434389
0.955768,1.695904,2.815382,-9.373036,0.091133,3.053165,-9.204987
0.989127,1.557334,2.779019,-9.409997,0.185857,3.223459,-9.3672
1.022416,1.67645,2.768544,-9.409399,0.152636,2.951109,-9.246587
1.055697,1.563918,2.86267,-9.539588,0.306618,3.148787,-9.322307
1.089006,1.572298,2.737418,-9.376328,0.242272,3.011115,-9.336074
1.122411,1.547308,2.879579,-9.319613,0.172239,3.02578,-9.328891
1.155748,1.477874,2.324105,-8.792122,-0.035765,3.141903,-9.245689
1.189074,1.440762,2.811641,-9.456087,0.184809,3.073965,-9.271578
1.222464,2.249582,2.122236,-8.905551,0.250353,3.120804,-9.419575
1.255789,1.296806,2.428106,-9.098441,0.099363,3.043139,-9.259606
1.289122,1.914682,2.898285,-9.627878,-0.019154,3.009469,-9.227882
1.322452,1.72254,2.689982,-9.344603,-0.000898,2.951857,-9.243894
1.355745,1.64697,2.664542,-9.278611,0.262174,2.94647,-9.280556
1.389081,1.635148,2.588524,-9.273673,0.112831,1.804095,-9.577149
1.422398,1.583073,2.841869,-9.443817,0.867031,1.885202,-9.870449
1.455746,1.716255,2.590619,-9.281753,0.03771,-0.122109,-10.80033
1.489113,1.894629,2.878532,-9.4507,1.458869,-2.910705,-11.644167
1.522338,1.622878,2.760164,-9.372587,-1.139082,-1.175296,-9.788295
1.555793,1.671362,2.692526,-9.357772,3.041194,15.510043,-2.383363
1.589114,1.767134,2.75792,-9.410446,0.433216,0.665911,-13.837184
1.622452,1.680041,2.80386,-9.411195,-1.166916,3.884282,-10.936056
1.655788,1.699046,2.767796,-9.567422,0.10879,3.392256,-9.360615
1.688996,1.636346,2.846807,-9.41733,0.000449,3.302021,-9.243894
1.722414,0.994677,2.253323,-9.423765,-0.095622,3.280173,-9.235214
1.755776,-2.617255,2.943776,-10.977956,-0.076468,3.308157,-9.124329
1.78915,-3.623454,1.835371,-10.717428,-0.246761,3.070673,-8.78434
1.822433,0.331609,1.051691,-10.480244,-0.001796,2.940334,-9.642393
1.855732,5.670271,-0.799991,-12.207423,0.514921,3.177219,-9.506068
1.889109,2.577749,-0.861345,-12.106264,0.218778,3.012163,-9.233718
1.92247,1.984714,-1.438368,-10.58649,0.392065,3.097609,-9.275019
1.955778,4.418657,-1.520821,-10.300523,0.357048,3.060498,-9.297316
1.989574,4.992089,-1.552246,-8.736006,0.41915,3.073367,-9.348644
2.022445,4.636387,0.899204,-11.874168,0.379495,2.950211,-9.281604
2.055771,2.570118,1.32,-9.765699,0.388024,2.947667,-9.281304
2.089351,1.539227,1.750972,-8.372822,0.351511,3.005429,-9.294024
2.122365,2.150818,1.811278,-7.6279,0.314699,2.982534,-9.262898
2.155816,3.145195,3.976761,-10.824722,0.440399,2.963828,-9.308091
2.189864,3.662511,4.553635,-10.753641,0.463893,2.974004,-9.314226
2.222441,1.49209,4.145259,-7.451919,0.392813,2.980588,-9.270979
2.255771,0.415858,4.61439,-6.979796,0.365727,2.972956,-9.304798
2.289092,0.739386,5.445208,-8.71311,0.433516,2.978194,-9.267837
2.322442,1.119329,4.76927,-8.390181,0.601415,3.052716,-9.522379
2.355762,1.039121,5.731325,-7.492473,0.153234,3.120055,-9.251226
2.389106,1.351575,6.186239,-7.385628,0.239429,3.151331,-9.368546
2.422438,3.419192,8.818608,1.053786,0.53632,3.203855,-9.722003
2.455799,-2.432745,4.068193,-11.360144,0.136474,3.21882,-10.0168
2.489126,11.752658,21.313196,-23.924615,0.286417,3.391807,-10.357088
2.522164,-1.976185,1.472487,-7.426779,0.352409,2.895741,-10.897448
2.55578,1.805891,3.189639,-9.339665,-0.84653,0.662769,-11.61768
2.589149,1.632305,3.123946,-9.576999,1.278699,4.171746,-13.071611
2.622442,1.628863,3.023835,-9.27906,-1.16916,3.543395,-11.232948
2.65573,1.526358,3.003484,-9.224889,-3.141155,4.081212,-10.851807
2.689105,1.544166,3.083842,-9.428404,-7.356747,3.61283,-16.695963
2.722436,1.557334,2.901577,-9.321558,-4.168155,-2.381567,-10.672086
2.755766,1.569006,2.873145,-9.255416,-0.189598,-1.189362,-10.587687
2.789107,1.506904,2.885715,-9.256314,-1.757407,1.046902,-10.841631
2.822448,1.57993,2.784406,-9.360166,-1.139232,0.88843,-8.952838
2.855769,1.612852,2.935246,-9.25392,2.134806,3.74272,-10.978704
2.889094,1.569904,2.957842,-9.286841,0.192441,4.954977,-11.1692
2.922414,1.664478,2.771986,-9.261402,-1.216896,6.339773,-12.121079
2.95577,1.654901,2.969814,-9.370043,-2.996899,8.421157,-10.94698
2.989106,1.683633,2.979092,-9.340413,-0.538415,16.446807,-11.045445
3.022234,1.658792,2.944075,-9.320062,7.039204,21.388915,2.432745
3.055771,1.74783,2.95051,-9.409249,5.236456,21.109981,16.316019
3.089117,1.716255,2.93779,-9.415983,-10.297979,33.505505,-68.304972
3.122436,1.766984,2.628329,-9.422867,1.596391,1.400359,-11.937168
3.155735,1.976484,2.430501,-9.507565,-0.409573,3.952519,-9.176854
3.188366,1.390183,3.06349,-10.179312,-0.176728,3.371905,-9.288338
3.221691,1.004852,2.650626,-9.255865,-0.061952,3.220616,-9.262599
3.255038,1.522018,3.726858,-10.031315,-0.427979,3.416797,-9.083776
3.288397,-0.208004,0.194685,-12.337462,-0.212643,3.424878,-9.174459
3.321706,-0.299735,3.07202,-14.285365,-0.354953,3.348111,-9.169372
3.355041,3.759031,-0.09622,-9.796974,-0.329065,3.409166,-9.113255
3.388285,3.620761,-0.3144,-8.138182,-0.198127,3.506733,-9.191219
3.421705,3.890717,0.845932,-9.745347,-0.397452,3.369361,-9.086469
3.455006,2.586578,1.477724,-9.818523,-0.331459,3.461391,-9.122833
3.488239,2.017785,1.977831,-9.56802,-0.250652,3.557611,-9.155155
3.521705,0.995724,3.280323,-10.489971,-0.374856,3.379237,-9.140341
3.555754,1.166766,3.534417,-9.738314,-0.256189,3.507631,-9.131213
3.588366,2.361066,3.267603,-9.611267,-0.233293,3.434006,-9.146327
3.621708,4.565906,2.17536,-10.140554,-0.23045,3.423681,-9.142885
3.655073,3.104942,1.453632,-9.075695,-0.202916,3.404826,-9.111909
3.688378,2.219953,2.017037,-9.847104,-0.109688,3.342126,-9.273673
3.721711,0.714395,2.589571,-9.429152,-0.114178,3.397942,-9.187628
3.755041,0.474817,4.055623,-10.434303,-0.076019,3.337636,-9.185982
3.788367,0.71245,3.983795,-9.214414,0.013618,3.400486,-9.214414
3.821711,1.104215,5.047756,-8.829383,-0.066142,3.359634,-9.201994
3.854957,1.727329,4.958419,-8.072788,-0.167899,3.296185,-9.116248
3.889068,2.138697,5.648273,-9.098142,-0.218329,3.237076,-9.180445
3.922415,1.762644,6.556157,-8.907646,-0.010625,3.439842,-9.259307
