time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.010268,0.189149,3.508977,-9.554403,-2.748492,2.701354,-9.078389
0.043571,0.22641,3.434755,-9.429152,-2.693573,2.793535,-8.885349
0.076959,0.098914,3.286309,-9.350589,-2.748791,2.623839,-8.988004
0.110298,0.221023,3.240967,-9.228481,-2.862071,2.636559,-8.96466
0.143639,0.023793,3.261767,-9.258409,-2.936294,2.648082,-8.918869
0.176978,0.140066,3.276283,-9.322307,-2.750138,2.689982,-8.98127
0.21026,0.248557,3.297083,-9.394135,-2.767646,2.607678,-8.976781
0.243598,0.207854,3.332997,-9.301207,-2.773482,2.812539,-8.894328
0.276932,0.215336,3.371007,-9.325449,-2.782162,2.654067,-8.943261
0.310327,0.183313,3.353947,-9.320361,-2.878532,2.726494,-8.900014
0.343643,0.166702,3.325066,-9.330238,-2.742207,2.861472,-8.868589
0.376968,0.169845,3.216874,-9.244343,-2.689832,2.784556,-8.9898
0.410345,0.138569,3.331501,-9.32919,-2.765252,2.743554,-8.806338
0.443262,0.123605,3.332698,-9.335326,-2.779019,2.643293,-8.922012
0.476936,0.164607,3.32357,-9.266939,-2.918037,2.613215,-8.940268
0.510088,0.156227,3.294539,-9.317368,-2.851596,2.553657,-8.952539
0.543571,0.277288,3.36981,-9.379171,-2.815233,2.661101,-8.925753
0.577032,0.221771,3.288853,-9.297017,-2.749988,2.438581,-9.049807
0.610234,0.072577,3.267454,-9.298064,-3.005878,2.618153,-8.856319
0.643593,0.187802,3.333596,-9.327694,-2.780216,2.775428,-8.912285
0.676924,0.23464,3.306062,-9.285195,-2.777672,2.704946,-8.980672
0.710213,0.23449,3.364871,-9.319763,-2.780366,2.843815,-8.887594
0.743691,0.23449,3.366368,-9.330687,-2.79982,2.764055,-8.950444
0.776938,0.210847,3.333596,-9.281604,-2.875389,2.779169,-8.885948
0.810247,0.103254,3.394052,-9.281005,-2.798922,2.750886,-8.912285
0.843647,0.141413,3.302321,-9.272476,-2.974902,2.593013,-8.920366
0.876926,0.268459,3.332099,-9.302853,-2.948714,2.646884,-8.988154
0.910262,0.192142,3.263413,-9.282651,-2.97999,2.78291,-9.242397
0.943588,0.191393,3.351852,-9.351188,-3.036704,2.048163,-9.28744
0.976911,0.279982,3.337038,-9.341611,-3.674483,2.415387,-9.642842
1.010238,0.13827,3.279276,-9.275917,-4.341292,2.809995,-10.351252
1.043596,0.21354,3.347962,-9.342808,-6.386761,4.184765,-12.378614
1.076906,0.298687,3.274936,-9.305547,-10.459294,0.796849,-13.895395
1.110265,0.126897,3.343023,-9.268585,-5.517186,-2.706293,-10.227198
1.143543,0.208752,3.358586,-9.321708,-1.557783,-2.066868,-9.585379
1.176931,0.251101,3.39061,-9.331435,-2.576103,-2.341613,-11.159323
1.210262,0.278186,3.429667,-9.326048,-4.427785,-1.445252,-11.100364
1.243559,0.224315,3.350206,-9.368546,-3.603253,-1.649664,-9.774827
1.276896,0.169246,3.132775,-9.264694,-4.35865,-1.108405,-9.507714
1.310264,0.041152,3.413655,-9.333081,-3.819038,-0.197978,-8.1726
1.343554,0.019753,3.217772,-9.264544,-3.240219,2.074799,-9.225637
1.376965,0.075869,3.305014,-9.214713,-3.102398,3.355444,-8.293362
1.410227,0.209201,3.206549,-9.254069,-3.573474,4.341142,-7.180467
1.443655,0.237034,3.311748,-9.270231,-3.914959,7.544399,-7.330409
