time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
0.029505,1.380157,2.812539,-9.402515,1.380157,2.812539,-9.402515
0.062839,1.331822,2.818375,-9.390693,1.331822,2.818375,-9.390693
0.096168,1.360254,2.8082,-9.443368,1.360254,2.8082,-9.443368
0.129505,1.394523,2.745499,-9.332482,1.394523,2.745499,-9.332482
0.162832,1.421458,2.820171,-9.391292,1.421458,2.820171,-9.391292
0.196189,1.350827,2.765402,-9.564878,1.350827,2.765402,-9.564878
0.229529,1.351276,2.804159,-9.217108,1.351276,2.804159,-9.217108
0.263668,1.390333,2.815532,-9.457883,1.390333,2.815532,-9.457883
0.296974,1.354418,2.872396,-9.340862,1.354418,2.872396,-9.340862
0.330297,1.361152,2.844114,-9.368995,1.361152,2.844114,-9.368995
0.36362,1.326884,2.755076,-9.395931,1.326884,2.755076,-9.395931
0.396978,1.491192,2.811342,-9.401168,1.491192,2.811342,-9.401168
0.4303,1.355765,2.828102,-9.209925,1.355765,2.828102,-9.209925
0.463587,1.34095,2.793086,-9.346698,1.34095,2.793086,-9.346698
0.496913,1.344392,2.779468,-9.331136,1.344392,2.779468,-9.331136
0.530291,1.427294,2.86686,-9.382313,1.427294,2.86686,-9.382313
0.563593,1.381653,2.856235,-9.412541,1.381653,2.856235,-9.412541
0.596754,1.342297,2.612018,-9.227583,1.342297,2.612018,-9.227583
0.630205,1.446299,2.733827,-9.288038,1.446299,2.733827,-9.288038
0.663645,1.485506,2.895441,-9.397876,1.485506,2.895441,-9.397876
0.696962,1.523964,2.938239,-9.441871,1.523964,2.938239,-9.441871
0.730328,1.323592,2.931356,-9.478833,1.323592,2.931356,-9.478833
0.763633,1.264782,2.519987,-9.206633,1.264782,2.519987,-9.206633
0.796977,1.504061,2.822416,-9.295969,1.504061,2.822416,-9.295969
0.830211,1.541023,2.944973,-9.381715,1.541023,2.944973,-9.381715
0.863634,1.350228,2.786352,-9.397727,1.350228,2.786352,-9.397727
0.896967,1.273761,2.707789,-9.332033,1.273761,2.707789,-9.332033
0.930349,1.397366,2.796677,-9.374083,1.397366,2.796677,-9.374083
0.963643,1.494933,2.654666,-9.276217,1.494933,2.654666,-9.276217
0.996963,1.431335,2.964876,-9.528515,1.431335,2.964876,-9.528515
1.030255,1.287378,2.818824,-9.474643,1.287378,2.818824,-9.474643
1.063655,1.415173,2.807751,-9.367948,1.415173,2.807751,-9.367948
1.096966,1.422207,2.701654,-9.248084,1.422207,2.701654,-9.248084
1.130728,1.411732,2.757321,-9.339516,1.411732,2.757321,-9.339516
1.163568,1.379259,2.697763,-9.280856,1.379259,2.697763,-9.280856
1.196912,1.413976,2.763157,-9.372587,1.413976,2.763157,-9.372587
1.230583,1.473684,2.662148,-9.336523,1.473684,2.662148,-9.336523
1.263581,1.396917,2.94228,-9.455489,1.396917,2.94228,-9.455489
1.296914,1.393625,2.802064,-9.385905,1.393625,2.802064,-9.385905
1.330845,1.467997,2.796078,-9.39623,1.467997,2.796078,-9.39623
1.363595,1.404549,2.821069,-9.469256,1.404549,2.821069,-9.469256
1.396915,1.435226,2.891551,-9.43828,1.435226,2.891551,-9.43828
1.430246,1.405746,2.827354,-9.420173,1.405746,2.827354,-9.420173
1.463589,1.456475,2.82062,-9.435586,1.456475,2.82062,-9.435586
1.496885,1.331074,2.599448,-9.26649,1.331074,2.599448,-9.26649
1.530215,1.389285,2.601692,-9.307791,1.389285,2.601692,-9.307791
1.563645,1.322844,2.562785,-9.301207,1.322844,2.562785,-9.301207
1.596976,1.318354,2.635811,-9.348494,1.318354,2.635811,-9.348494
1.630297,1.448693,2.788896,-9.443966,1.448693,2.788896,-9.443966
1.663645,1.386143,2.726494,-9.428104,1.386143,2.726494,-9.428104
1.696903,1.252511,2.489161,-9.233419,1.252511,2.489161,-9.233419
1.730249,1.508401,2.794283,-9.386204,1.508401,2.794283,-9.386204
1.763585,1.367737,2.56503,-9.252423,1.367737,2.56503,-9.252423
1.796923,1.536534,2.725447,-9.443667,1.536534,2.725447,-9.443667
1.830242,1.519474,2.754029,-9.474045,1.519474,2.754029,-9.474045
1.863585,1.565714,2.748791,-9.448905,1.565714,2.748791,-9.448905
1.89698,1.645923,2.605882,-9.414936,1.645923,2.605882,-9.414936
1.930299,1.348882,2.462375,-10.047925,1.348882,2.462375,-10.047925
1.963592,2.189576,2.24644,-11.196285,2.189576,2.24644,-11.196285
1.99691,0.323229,-0.736243,-10.298877,0.323229,-0.736243,-10.298877
2.030213,4.059364,6.889711,-14.875407,4.059364,6.889711,-14.875407
2.063602,1.646222,5.132304,-11.823589,1.646222,5.132304,-11.823589
2.096918,2.597652,5.303795,-24.334637,2.597652,5.303795,-24.334637
